"TOA5","cmarshhigh_pheno","CR3000","6900","CR3000.Std.32.07","CPU:cmarshhigh_base.CR3","54156","cmarshHigh_Phenocam"
"TIMESTAMP","RECORD","PTemp_C_Avg","BattV_Min","BattV"
"TS","RN","Deg C","Volts","Volts"
"","","Avg","Min","Smp"
"2026-03-14 13:15:00",26020,7.839,11.55,11.56
"2026-03-14 13:30:00",26021,7.947,11.55,11.59
"2026-03-14 13:45:00",26022,7.933,11.55,11.55
"2026-03-14 14:00:00",26023,7.669,11.54,11.58
"2026-03-14 14:15:00",26024,7.37,11.52,11.55
"2026-03-14 14:30:00",26025,7.123,11.55,11.57
"2026-03-14 14:45:00",26026,6.948,11.54,11.54
"2026-03-14 15:00:00",26027,6.697,11.54,11.57
"2026-03-14 15:15:00",26028,6.564,11.52,11.55
"2026-03-14 15:30:00",26029,6.554,11.54,11.57
"2026-03-14 15:45:00",26030,6.5,11.53,11.55
"2026-03-14 16:00:00",26031,6.405,11.55,11.58
"2026-03-14 16:15:00",26032,6.293,11.53,11.55
"2026-03-14 16:30:00",26033,6.149,11.55,11.58
"2026-03-14 16:45:00",26034,5.941,11.54,11.54
"2026-03-14 17:00:00",26035,5.72,11.53,11.57
"2026-03-14 17:15:00",26036,5.486,11.56,11.57
"2026-03-14 17:30:00",26037,5.217,11.56,11.58
"2026-03-14 17:45:00",26038,4.915,11.56,11.57
"2026-03-14 18:00:00",26039,4.595,11.55,11.57
"2026-03-14 18:15:00",26040,4.304,11.56,11.57
"2026-03-14 18:30:00",26041,4.021,11.54,11.57
"2026-03-14 18:45:00",26042,3.794,11.56,11.57
"2026-03-14 19:00:00",26043,3.606,11.56,11.58
"2026-03-14 19:15:00",26044,3.433,11.57,11.57
"2026-03-14 19:30:00",26045,3.274,11.55,11.56
"2026-03-14 19:45:00",26046,3.131,11.59,11.6
"2026-03-14 20:00:00",26047,2.971,11.59,11.59
"2026-03-14 20:15:00",26048,2.806,11.59,11.6
"2026-03-14 20:30:00",26049,2.637,11.59,11.59
"2026-03-14 20:45:00",26050,2.469,11.59,11.6
"2026-03-14 21:00:00",26051,2.295,11.6,11.6
"2026-03-14 21:15:00",26052,2.126,11.59,11.6
"2026-03-14 21:30:00",26053,1.991,11.59,11.59
"2026-03-14 21:45:00",26054,1.853,11.59,11.59
"2026-03-14 22:00:00",26055,1.706,11.59,11.6
"2026-03-14 22:15:00",26056,1.562,11.59,11.6
"2026-03-14 22:30:00",26057,1.434,11.59,11.6
"2026-03-14 22:45:00",26058,1.291,11.59,11.6
"2026-03-14 23:00:00",26059,1.123,11.58,11.59
"2026-03-14 23:15:00",26060,0.995,11.59,11.59
"2026-03-14 23:30:00",26061,0.837,11.58,11.59
"2026-03-14 23:45:00",26062,0.632,11.59,11.59
"2026-03-15 00:00:00",26063,0.432,11.59,11.59
"2026-03-15 00:15:00",26064,0.231,11.59,11.59
"2026-03-15 00:30:00",26065,-0.007,11.58,11.59
"2026-03-15 00:45:00",26066,-0.282,11.58,11.58
"2026-03-15 01:00:00",26067,-0.514,11.58,11.59
"2026-03-15 01:15:00",26068,-0.717,11.59,11.59
"2026-03-15 01:30:00",26069,-0.91,11.59,11.59
"2026-03-15 01:45:00",26070,-1.092,11.58,11.59
"2026-03-15 02:00:00",26071,-1.296,11.58,11.58
"2026-03-15 02:15:00",26072,-1.584,11.58,11.58
"2026-03-15 02:30:00",26073,-1.712,11.58,11.58
"2026-03-15 02:45:00",26074,-1.779,11.58,11.59
"2026-03-15 03:00:00",26075,-1.936,11.59,11.59
"2026-03-15 03:15:00",26076,-2.21,11.58,11.58
"2026-03-15 03:30:00",26077,-2.528,11.57,11.58
"2026-03-15 03:45:00",26078,-2.83,11.58,11.59
"2026-03-15 04:00:00",26079,-3.043,11.58,11.58
"2026-03-15 04:15:00",26080,-3.065,11.58,11.59
"2026-03-15 04:30:00",26081,-3,11.58,11.58
"2026-03-15 04:45:00",26082,-2.915,11.58,11.58
"2026-03-15 05:00:00",26083,-2.696,11.58,11.58
"2026-03-15 05:15:00",26084,-2.487,11.58,11.59
"2026-03-15 05:30:00",26085,-2.278,11.58,11.59
"2026-03-15 05:45:00",26086,-2.117,11.58,11.59
"2026-03-15 06:00:00",26087,-1.977,11.58,11.59
"2026-03-15 06:15:00",26088,-1.819,11.52,11.53
"2026-03-15 06:30:00",26089,-1.589,11.52,11.56
"2026-03-15 06:45:00",26090,-1.349,11.53,11.54
"2026-03-15 07:00:00",26091,-1.031,11.53,11.57
"2026-03-15 07:15:00",26092,-0.667,11.54,11.54
"2026-03-15 07:30:00",26093,-0.302,11.53,11.56
"2026-03-15 07:45:00",26094,0.146,11.53,11.54
"2026-03-15 08:00:00",26095,0.697,11.53,11.57
"2026-03-15 08:15:00",26096,1.274,11.53,11.54
"2026-03-15 08:30:00",26097,1.876,11.54,11.57
"2026-03-15 08:45:00",26098,2.603,11.54,11.55
"2026-03-15 09:00:00",26099,3.284,11.53,11.57
"2026-03-15 09:15:00",26100,3.827,11.54,11.55
"2026-03-15 09:30:00",26101,4.399,11.54,11.55
"2026-03-15 09:45:00",26102,4.724,11.53,11.54
"2026-03-15 10:00:00",26103,5.259,11.54,11.57
"2026-03-15 10:15:00",26104,5.995,11.55,11.55
"2026-03-15 10:30:00",26105,6.693,11.55,11.57
"2026-03-15 10:45:00",26106,7.356,11.55,11.56
"2026-03-15 11:00:00",26107,7.482,11.55,11.58
"2026-03-15 11:15:00",26108,7.303,11.54,11.55
"2026-03-15 11:30:00",26109,7.149,11.54,11.58
"2026-03-15 11:45:00",26110,6.964,11.54,11.56
"2026-03-15 12:00:00",26111,6.901,11.54,11.58
"2026-03-15 12:15:00",26112,7.044,11.55,11.55
"2026-03-15 12:30:00",26113,7.061,11.54,11.57
"2026-03-15 12:45:00",26114,6.993,11.54,11.55
"2026-03-15 13:00:00",26115,6.738,11.53,11.58
"2026-03-15 13:15:00",26116,6.332,11.55,11.55
"2026-03-15 13:30:00",26117,5.991,11.54,11.58
"2026-03-15 13:45:00",26118,5.708,11.52,11.55
"2026-03-15 14:00:00",26119,5.61,11.54,11.57
"2026-03-15 14:15:00",26120,5.643,11.53,11.55
"2026-03-15 14:30:00",26121,5.573,11.54,11.58
"2026-03-15 14:45:00",26122,5.431,11.55,11.55
