"TOA5","cmarsh_typha_redox","CR3000","4760","CR3000.Std.32.07","CPU:Typamarsh_opr-40-4-a.CR3","62656","Table5minute"
"TIMESTAMP","RECORD","LoggerBattV_MIN","PTemp_C","P1_Soil_Temp_C","P2_Soil_Temp_C","P1_40cm_Avg","P1_30cm_Avg","P1_20cm_Avg","P1_10cm_Avg","P2_40cm_Avg","P2_30cm_Avg","P2_20cm_Avg","P2_10cm_Avg","Ref1"
"TS","RN","Volts","Deg C","Deg C","Deg C","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2026-07-27 09:45:00",8249,11.72,34.17,17.17,17.04,-361,-395.5,-366.1,-389,-380.6,-364,-384,-131.8,-14.14
"2026-07-27 09:50:00",8250,11.72,34.69,17.17,17.03,-361,-395.7,-366.1,-389,-380.7,-364.1,-384,-130.9,-14.14
"2026-07-27 09:55:00",8251,11.73,35.15,17.17,17.03,-361,-395.9,-366.1,-389,-380.6,-364.1,-384,-131.5,-14.14
"2026-07-27 10:00:00",8252,11.73,35.58,17.16,17.02,-361,-396,-366.1,-389,-380.6,-364.1,-384,-131.8,-14.14
"2026-07-27 10:05:00",8253,11.72,35.98,17.16,17.01,-361.1,-396.1,-366.1,-389,-380.7,-364.1,-384,-130.8,-14.14
"2026-07-27 10:10:00",8254,11.73,36.36,17.16,17.01,-361.1,-396.3,-366.1,-389,-380.7,-364.1,-384,-129.7,-14.14
"2026-07-27 10:15:00",8255,11.73,36.74,17.15,17,-361.1,-396.5,-366.2,-389,-380.7,-364.1,-384,-128.9,-14.14
"2026-07-27 10:20:00",8256,11.73,37.12,17.15,17,-361.1,-396.7,-366.1,-389,-380.7,-364.1,-384,-128.5,-14.13
"2026-07-27 10:25:00",8257,11.73,37.5,17.15,16.99,-361,-396.9,-366.1,-389,-380.7,-364.1,-384.1,-128.7,-14.13
"2026-07-27 10:30:00",8258,11.73,37.84,17.15,16.99,-361.1,-397.1,-366.1,-389,-380.7,-364.1,-384.1,-127.9,-14.12
